Tag,Count
android,254
android-camera2,42
java,41
android-camera,35
dagger-2,18
camera,16
android-ndk,15
android-studio,14
android-vision,14
google-play-services,14
google-vision,13
android-architecture-components,11
camera2,9
kotlin,9
android-espresso,7
android-5.0-lollipop,7
mvvm,6
android-layout,6
android-mediarecorder,6
android-geofence,5
android-room,5
android-fragments,5
c++,5
google-fit,4
preview,4
bluetooth-lowenergy,4
google-places-api,4
location,4
in-app-purchase,4
video,4
mvp,4
dependency-injection,4
cmake,4
android-instant-apps,4
android-recyclerview,4
bluetooth,4
face-detection,3
android-6.0-marshmallow,3
face-recognition,3
audio,3
dagger-android,3
android-mediaprojection,3
android-constraintlayout,3
viewmodel,3
android-livedata,3
android-fingerprint-api,3
android-jetpack,3
dagger.android,3
opengl-es,3
dagger,3
android-gradle,3
barcode-scanner,3
opensl,3
android-intent,3
recycler-adapter,3
gradle-experimental,3
gradle,3
in-app-billing,3
nullpointerexception,2
front-camera,2
fingerprint,2
retrofit,2
overlay,2
android-managed-profile,2
android-for-work,2
android-databinding,2
xamarin.android,2
junit,2
androidx,2
android-viewmodel,2
wear-os,2
memory-leaks,2
android-music-player,2
audio-player,2
android-architecture-lifecycle,2
google-api-client,2
bitmap,2
android-viewpager,2
unit-testing,2
android-fusedlocation,2
google-nearby,2
media-player,2
android-5.1.1-lollipop,2
google-api,2
google-maps,2
image-processing,2
geofencing,2
geolocation,2
gps,2
android-workmanager,2
android-support-library,2
samsung-mobile,2
android-syncadapter,2
android-bitmap,2
android-testing,2
android-7.0-nougat,2
image,2
android-instrumentation,2
junit4,2
video-capture,2
xamarin,2
android-mediaplayer,2
camera-flash,2
barcode,2
vision-api,2
upnp,1
mediarouter,1
flashlight,1
alarmmanager,1
android-alarms,1
android-textureview,1
android-context,1
mockito,1
android-framelayout,1
layout,1
android-location,1
casting,1
android-handlerthread,1
vision,1
playback,1
security,1
biometrics,1
google-cloud-messaging,1
device-owner,1
upload,1
google-play-developer-api,1
fragmenttransaction,1
fragment,1
android-api-levels,1
beacon,1
qr-code,1
ffmpeg,1
multithreading,1
android-looper,1
clang,1
google-geolocation,1
cordova,1
mediarecorder,1
swiperefreshlayout,1
xml,1
location-updates,1
mediacodec,1
mediamuxer,1
mediabrowserservicecompat,1
mediabrowserservice,1
video-streaming,1
opentok,1
android-video-record,1
navigation,1
android-paging-library,1
android-mediasession,1
storage,1
external,1
egl,1
java-native-interface,1
fusedlocationproviderclient,1
frame-rate,1
android-wear-complication,1
callback,1
effects,1
broadcastreceiver,1
updates,1
distortion,1
firebase,1
android-asynctask,1
firebase-realtime-database,1
hex,1
IMPORT.gradle,1
flash,1
android-imageview,1
android-gradle-3.0,1
gradle-android-test-plugi,1
android-lifecycle,1
android-hardware,1
lg,1
debugging,1
audio-recording,1
android-file,1
android-install-apk,1
kotlin-interop,1
c#,1
pdf,1
fonts,1
google-font-api,1
google-fonts,1
rotation,1
cosu,1
android-bluetooth,1
arduino,1
logging,1
android-tablelayout,1
camera-api,1
voice-recording,1
pdfrenderer,1
android-pendingintent,1
android-mvvm,1
api,1
android-things,1
safetynet,1
adb,1
design-patterns,1
service,1
rx-android,1
authentication,1
keystore,1
signature,1
screen-orientation,1
rx-java,1
android-7.1-nougat,1
storage-access-framework,1
activity-recognition,1
adapter,1
json,1
android-resources,1
device-policy-manager,1
android-sliding,1
material-design,1
viewanimator,1
circularreveal,1
android-listview,1
scrollbar,1
kiosk-mode,1
textureview,1
testing,1
sipdroid,1
android-wear-notification,1
surfaceview,1
appcompat,1
focus,1
google-maps-android-api-2,1
android-tabs,1
kapt,1
android-intentservice,1
crop,1
mobile,1
capture,1
sync,1
zoom,1
android-permissions,1
imaging,1
google-console-developer,1
android-annotations,1
.so,1
android-navigation-drawer,1
android-navigation,1
android-fragmentactivity,1
android-motionlayout,1
notifications,1
foreground-service,1
shared-libraries,1
